id,text,product_tag,book_id
Zeolith bindet schäfliche Stoffe bereits im Darm,"Die an Zeolith und Bentonit gebundenen Schadstoffe werden ohne den Stoffwechsel zu belasten, natürlich mit dem Stuhl innerhalb von ca. 24 Stunden über den Darm ausgeschieden. 

Die Wirkung von medizinisch geprüftem Natur-Zeolith beruht auf der besonderen Eigenschaft, schädliche Stoffe bereits im Darm zu binden und damit die körpereigenen Entgiftungsorgane zu entlasten. So gelangen nicht nur weniger Gifte in den Körper, auch bereits vorhandene Schadstoffe können durch osmotisches Gefälle und durch das Fliessgleichgewicht des aktiven Organismus ausgeleitet werden.

Die im medizinischen Natur-Zeolith ultrafein enthaltenen natürlichen Mineralien haben u. a. die besondere Eigenschaft, durch selektiven Ionen-Austausch und Adsorption schädliche Stoffe, wie z. B. Aluminium (Al³⁺), Blei (Pb²⁺), Quecksilber (Hg²⁺), Cadmium (Cd²⁺), Ammonium (NH4⁺) und Histamin (C5H9N3) zu binden. Schwermetalle können nur aus dem Organismus ausgeleitet werden, wenn sie gebunden werden.",Zeolith,57
Natur-Zeolith ultrafein mögliche Hilfe gegen Aluminium-Belastungen ,"Aluminium hat zu den einzelnen Organen eine unterschiedliche „Affinität“ (Bindungs-Anziehungskraft). Da es unlösliche Phosphate bildet, wird das Element als „Knochensucher“ bezeichnet. Knochen und Muskeln zeigen vergleichbare Gewebegehalte. Bei nicht beruflich exponierten Menschen enthalten die Lungen die höchsten Aluminiummengen, die Werte steigen, wie auch im Zentralnervensystem, mit zunehmendem Alter an. Weiter wird Aluminium in Leber, Herz und Milz gespeichert. Das einzige nicht toxische Aluminium ist das Aluminiumsilikat. Dazu zählt auch der Natur-Zeolith ultrafein. Zwei wissenschaftliche Stellungnahmen der EFSA aus dem Jahr 2013 bestätigen die Sicherheit des Natur-Zeolith ultrafein-Klinoptilolith (Elg568, ehemals E568).",Zeolith,57
Die Zeolith-Qualität,"Zeolith ist nicht gleich Zeolith. Die beste Qualität von Zeolith muss Natur-Zeolith – und nichtsynthetisches Zeolith – sein und muss ultrafein gemahlen sein und zudem medizinisch geprüfte Qualität aufweisen. Die Billig-Zeolithe sind meistens nicht so fein gemahlen und können somit weniger Gifte aufnehmen. Die Billig-Version ist, wie bei Billig-Nahrung, meistens am falschen Ort gespart und keine weise Wahl. Mal etwas nüchtern betrachtet, nach diesen zum Teil fast hysterischen Diskussionen im Netz, was einen guten Zeolithen angeblich ausmacht. Von dem allseits bekannten (ohne Datenblatt) unbeweisbaren „Beste Qualität, fein gemahlen bis: der Mahlgrad darf 100 Mikron nicht unterschreiten, sonst entstehen Nano-Partikel!!“ sollte man doch einfach mal genauer hinschauen, was sie wirklich ausmacht, die Qualität.

Ein kleines einfaches Beispiel: Wenn Du Dir eine hochwertige Wandfarbe kaufst, achte doch auch darauf, dass Du mit einem Eimer dieser Farbe z. B. 100 m² streichen könntest und nicht nur 15–20 m². Das wäre nicht nur teuer, sondern auch anstrengend. 

Die Vermahlung zeigt den Wirkungsgrad. Die Aussage mikronisiert reicht nicht, denn mikronisiert kann auch 40 Mikrometer Vermahlung bedeuten und das ist viel zu gross. Am besten ist ultrafein vermahlen mit einer Korngrösse von 5–7 Mikrometer. Je feiner vermahlen, desto besser ist auch die Wirkung. Wir gehen natürlich immer nur von einem medizinisch geprüften und zugelassenen Natur-Zeolith-Klinoptilolith aus. Das sind Produkte, welche für die Entgiftung geeignet sind.",Zeolith,57
Welches sind die wichtigsten Funktionen von Natur-Zeolith ultrafein im menschlichen Körper?,"<li>Selektiver Ionen-Austausch, wodurch dem menschlichen Körper nur die und so viel Mineralien zugeführt werden, wie er sie für die systemische Regulation benötigt. Andererseits werden Schadstoffe aus dem Körper entfernt.</li>
<li>Adsorption, d. h. Bindung von Stoffen, z. B. Toxinen (Giften), die damit unschädlich gemacht werden. Beide Funktionen wirken untrennbar zusammen.</li>
<li>Zufuhr von kolloidalem Siliziumdioxid.</li>",Zeolith,57
Welche Wirkfunktionen werden von Natur-Zeolith ultrafein im menschlichen Körper nachgewiesen?,"<li>Natur-Zeolith ultrafein ist das mit Abstand beste Mittel zur Entgiftung</li>
<li>Natur-Zeolith ultrafein hat einen starken Antioxidations-Effekt</li>
<li>Bindung von Radionukliden</li>
<li>reguliert den pH-Wert</li>
<li>hat einen anti-„viralen“ Effekt (Virus = Gift auf Latein)</li>
<li>hat einen anti-bakteriellen Effekt</li>
<li>hat einen anti-mykotischen Effekt</li>
<li>dient der Steuerung und Aktivierung der Selbstregulationsund Selbstheilungsprozesse</li>
<li>schwächt die unerwünschten Nebenwirkungen klassischer Pharmaka ab (Chemotherapeutika bei Krebsbehandlung, Antibiotika)</li>
<li>wirkt der Impotenz entgegen und ermöglicht eine Steigerung der Libido""</li>
<li>ist bester Adsorbent zur Bindung von Schwermetallen, Ammoniak, Dioxin u. a.</li>
<li>aktiviert das körpereigene Abwehrsystem</li>
<li>bewirkt eine Steigerung der geistigen und körperlichen Leistungsfähigkeit und Leistungsausdauer</li>
<li>neutralisiert den oxidativen Stress bei Hormon-Therapien – auch Anti-Baby-Pillen</li>
<li>hilft bei Nierenentzündung</li>
<li>Prävention gegen Arteriosklerose und Herzinfarkte</li>
<li>schützt gegen Osteoporose</li>
<li>das Sehen wird verbessert</li>
<li>hilft bei Hautkrankheit(en) – sogar bei Psoriasis</li>
<li>hilft bei Darmkrankheit(en)</li>
<li>hilft bei Leberkrankheit(en) – auch bei Hepatitis</li>
<li>stärkt die Muskeln und Sehnen</li>
<li>stärkt das Lungengewebe</li>
<li>fördert den Haarwuchs</li>
<li>hilft die Nieren und Nebennieren zu regulieren (Hormonsystem)</li>
<li>stärkt die Nebennieren (Katecholamine)</li>
<li>stärkt die Fingernägel, so dass sie nicht brüchig werden</li>
<li>gegen Sodbrennen und Übersäuerung</li>
<li>hilft bei Alkoholkrankheit</li>
<li>sehr gut zur Mund- und Rachenpflege – schützt so auch vor dem NWO-Agenda21-WHO-Corona-„Virus“ (Immunsystem)</li>
<li>Senkung des Langzeit-Blutzuckers (HbA1c) und antioxidative Wirkung bei Diabetes mellitus</li>",Zeolith,57
Zeolith: Schutz der Schleimhäute des Verdauungssystems,"Bei peroraler (durch den Mund erfolgter) Verabreichung wird die Schleimhaut von Magen und Darm mit einem dünnen Zeolith-Schutzfilm belegt, wodurch die Wirkung gegenüber Noxen (krankheitserregenden Faktoren) herabgesetzt und die Nervenendigungen des Magens und des Darms ruhiggestellt werden.

Auf diese Weise wird auch die Wirkung von Säuren, die zu Entzündungen im Darm führen können, erheblich vermindert. Viele Wissenschaftler erklären diesen Schleimhautschutz mit einer durch Zeolith bewirkten Modifikation der Glycoprotein-Synthese der Magen- und Darmschleimhaut. Das ist eine einzigartige Schutzwirkung im Darm.",Zeolith,57
Was sind die Vorteile von genügend Si02 im Bindegewebe des Menschen?,"Anmerkung: Sio2 steht für Siliziumdioxid und ist im Klinoptilolith-Zeolith reichhaltig vorhanden

<li>Gehirn: Verbesserung des Hirnstoffwechsels und der geistigen Leistung</li>
<li>Mund: gesunde, gut durchblutete Mundschleimhaut und Zunge, gute Zähne</li>
<li>Immunsystem: geringe Infektanfälligkeit</li>
<li>Haar: Kopfhaardichte, Glanz, Farbe (im Alter nicht ergraut)</li>
<li>Haut: glatt, gut durchblutet, straff, elastisch</li>
<li>Fingernägel: fest, glatt</li>
<li>Herz-Kreislauf: elastische Gefässe, normales EKG, guter Blut- und Lymphfluss</li>
<li>Magen: gute Bekömmlichkeit der Speisen, kein Sodbrennen</li>
<li>Darm: normale Verdauung, normaler Stuhl, keine oder geringe Gasbildung, regelmässiger Stuhlgang</li>
<li>Atmung: kräftig und tief, kein Mundgeruch</li>
<li>Knochen: stabil, nicht brüchig im Alter</li>
<li>Sehnen/Bänder: kräftig, elastisch</li>
<li>Gelenke: gute Knorpelbildung</li>
<li>Muskulatur: straff, kräftig</li>",Zeolith,57
Welche Anwendungsgebiete gibt es für Natur-Zeolith ultrafein?,"Im Handbuch für Zeolithwissenschaft und -technik [2003] beschreiben Prof. Krešimir Pavelić und Dr. Mirko Hadžija (Kroatien) folgende Effekte für Natur-Zeolithe:

<li>antibakterielle Wirkung (gegen krankheitserzeugende Bakterien)</li>
<li>Entwicklung und mineralischer Aufbau der Knochen (Knochengesundheit)</li>
<li>Neutralisierung bei überschüssiger Magensäure</li>
<li>immunmodulierende Effekte, Stärkung der Immunabwehrkraft</li>
<li>Senkung des Blutzuckers und Antioxidantien-Wirkung bei an Diabetes mellitus Erkrankten</li>
<li>hemmende Effekte auf das Tumorwachstum (logisch, Zeolith ist basenbildend)</li>
<li>Bindung von Radionukliden (strahlenaktive Stoffe)</li>
<li>Natur-Zeolith ultrafein ist selbst untoxisch. Er hat keine unerwünschten gesundheitsschädigenden Wirkungen. Es kann aberzu Verstopfung führen, wenn zu wenig Wasser getrunken wird.</li>",Zeolith,57
Wie soll Natur-Zeolith ultrafein eingenommen werden?,"Für die optimale Wirkung ist folgendes Einnahmeritual unbedingt zu gewährleisten:

<li>2 × täglich 3 Gramm medizinisch geprüfter Natur-Zeolith ultrafein gemahlen in ein Glas mit 2.5 dl sehr warmem Wasser geben.</li>
<li>Keinen Metalllöffel benutzen wegen dem Ionen-Austausch!</li>
<li>Ein Keramik- oder Holzlöffel eignet sich am besten.</li>
<li>Danach mit einem Keramik- oder Holzlöffel das Pulver zu einer Aufschwemmung (Suspension) gut verrühren.</li>
<li>Einen Schluck von der Flüssigkeit (Suspension) in den Mund bringen. Dort für kurze Zeit festhalten, weil das Zeolith auch schon durch die Schleimhaut im Mund aufgenommen wird, und anschliessend herunterschlucken.""</li>
<li>Danach erneut die Suspension umrühren und wieder einen Schluck Flüssigkeit in den Mund nehmen, für kurze Zeit festhalten und dann schlucken.</li>
<li>Diese Prozedur ist so lange zu wiederholen, bis das Glas leer ist.</li>
<li>Vor und nach der Zeolith-Einnahme immer mindestens 2 Stunden Abstand halten zu säurehaltigen Produkten, wie Säften und auch Kaffee und Alkohol.</li>
<li>Ausserdem sind tagsüber 2–3 Liter Wasser zu trinken.</li>
<li>Natur-Zeolith ultrafein kann auch zur Mund- und Rachenpflege durch „gurgeln“ benutzt werden.</li>
<li>Natur-Zeolith ultrafein darf auch von Kindern eingenommen werden.</li>
<li>Natur-Zeolith ultrafein darf auch von Tieren eingenommen werden. Tiere in der freien Wildbahn suchen und lieben Wasser, das Zeolith – oder Ton – enthält.</li>
<li>Immer genügend Wasser trinken, damit das mit Gift gesättigte Zeolith richtig ausgeschieden werden kann.</li>
<li>Du kannst mit sehr warmem Zeolith-Wasser auch gurgeln bei Halsweh. Durch den Ionen-Austausch werden die Bakterien, welche nur in saurem Milieu überleben, neutralisiert.</li>",Zeolith,57
Warum soll man Natur-Zeolith ultrafein NICHT mit Fruchtsäften einnehmen?,"Verschiedene Säuren und Enzyme der Früchte, vor allem aber der Zitrusfrüchte (Grapefruit, Orange, Zitrone, Mandarine) können die Wirkung von Natur-Zeolith ultrafein-Pulver beeinflussen und andere Wirkungen auslösen. Diese Empfehlung gilt nicht nur für Natur-Zeolith ultrafein oder Montmorillonit, sondern für jeden antioxidativen Wirkstoff und besonders für alle Medikamente (die meisten Medikamente sind Oxidantien, also Säurebildner). Das gilt aber auch für Medikamente mit antioxidativer Wirkung.",Zeolith,57
