id,text,product_tag,book_id
L-Carnitin – In welchen Nahrungsmitteln kommt es vor?,"Wie wir weiter oben lesen konnten, können trotz optimaler Bedingungen lediglich 10 % des eigentlichen L-Carnitinbedarfs durch Eigensynthese des Körpers bewerkstelligt werden. Dies ist entschieden zu wenig, um von den Vorzügen des L-Carnitins zu profitieren. Über eine hierauf ausgerichtete Lebensmittelauswahl kann man versuchen, des Problems Herr zu werden. Die Realität sieht aber so aus, dass wir schätzungsweise pro Tag durchschnittlich nur 100–300 mg L-Carnitin aufnehmen; um auf 1000 mg zu kommen, müssten wir täglich rund 750 g Fleisch essen. Fleisch spielt in der L-Carnitin- Versorgung deshalb eine so wichtige Rolle, weil L-Carnitin aus den beiden essenziellen Aminosäuren „Lysin“ und „Methionin“ hergestellt wird, Aminosäuren, die fast ausschließlich im Fleisch vorkommen.",carnitin,3
Wirkung auf das Herzkreislaufsystem,"Der Herzmuskel ist auf die Energie aus den Fettsäuren angewiesen, um seiner Funktion intakt und gesund nachzukommen. Nur mit Carnitin aber können diese Fettsäuren vom Körper als Energielieferanten verwertet werden. L- Carnitin agiert dabei als Energieträger und ermöglicht es den Muskeln, dem Herzen sowie anderen Organen, die Fettsäuren als Energie zu verwerten. L- Carnitin stärkt die Herzmuskulatur und kann auf diese Weise Herzerkrankungen sowie einem Herzinfarkt vorbeugen.",carnitin,3
Wirkung auf die Blutgefäße,"Durch die gefäßerweiternde Wirkung mittels des Einflusses auf die Endothel- sowie die glatten Muskelzellen unserer Blutgefäße ergeben sich aufgrund der damit gesteigerten Durchblutung zahlreiche Vorteile:

<li>Verbesserung der Herzdurchblutung,</li>
<li>Senkung des Blutdrucks bei Hypertonikern,</li>
<li>Reduktion der Herzfrequenz (Puls),</li>
<li>Steigerung der Durchblutung der Skelettmuskulatur,</li>
<li>Steigerung der Sauerstoffaufnahmefähigkeit der Skelettmuskulatur,</li>
<li>Senkung des Laktatspiegels (Milchsäurespiegel während und nach anaerober Muskelbelastung),</li>
<li>Reduktion der Muskelschäden (einschließlich Muskelkater-Symptome),</li>
<li>Steigerung der Muskelkraft,</li>
<li>Verbesserung der Hirndurchblutung,</li>
<li>Reduktion von Kopfschmerzen,</li>
<li>gesteigerte Wachheit,</li>
<li>Steigerung der Konzentrationsfähigkeit,</li>",carnitin,3
Wirkung auf die Muskulatur,"Es ist kein Zufall, dass im Herzmuskel, in der Skelettmuskulatur sowie im Hirn besonders viel L-Carnitin vorzufinden ist. Es handelt sich dabei um Organe, die stark auf die Energieverwertung aus den Fettsäuren angewiesen sind – diese aber kann nur mithilfe von L-Carnitin optimal ablaufen. Die Muskulatur ermüdet nicht mehr so schnell, Muskelkater und selbst größeren Muskelschädigungen kann vorgebeugt werden, häufigere Trainingseinheiten werden ermöglicht und höhere Leistungssteigerungen werden erzielt. In Tierversuchen konnte eine intravenöse Verabreichung von L-Carnitin die Muskelkraft um bis zu 34 % erhöhen.",carnitin,3
Wirkung das Gehirn und das zentrale Nervensystem,"L-Carnitin verbessert die kognitive Fähigkeit, es wirkt der Hirnalterung, Demenz und Alzheimer entgegen, es steigert die Konzentration und Aufnahmefähigkeit (Lernfähigkeit) und beschleunigt die Zellerneuerung der Hirnzellen. Im Gegensatz zu den meisten Antioxidantien vermag Acetyl-L- Carnitin die Blut-Hirn-Schranke zu passieren und hier die Bildung von Nerven-Wachstumsfaktor-Rezeptoren, sogenannten NGFR, einerseits zu fördern und andererseits diese selbst zu schützen.",carnitin,3
Wirkung von L-Carnitin auf das Immunsystem,"Es verwundert nicht, dass die Immunzellen außerordentlich viel L-Carnitin beinhalten, denn L-Carnitin gilt als natürlicher Immunstimulator; es transportiert die langkettigen Fettsäuren für die ATP-Produktion direkt in die Mitochondrien hinein. L-Carnitin bietet einen optimalen Schutz für die Zellmembranen, die Abwehrzellen des Immunsystems werden aktiviert und in ihrer Funktion gestärkt. In Studien konnte Acetyl-L-Carnitin (ALC) die Aktivität der Lymphozyten erhöhen, die Makrophagenproduktion aufrechterhalten und den TSH-Spiegel erhöhen.",carnitin,3
Wirkung von L-Carnitin bei Lebererkrankungen,"L-Carnitin hat sich bestens zum Schutz und zum Aufbau von Leberzellen bewährt und wird unter anderem aus diesem Grund bei Alkoholismus eingesetzt. Eine geschwächte, kranke Leber verliert das Potenzial, hinreichend L-Carnitin zu synthetisieren. Hier empfiehlt es sich daher aus mehreren Gründen, auf L-Carnitin-Nahrungsergänzungsmittel zurückzugreifen.",carnitin,3
Wirkung von L-Carnitin bei Krebs,"L-Carnitin entfaltet seine Wirkung bei Krebs über mehrere Mechanismen: Zunächst stärkt es nachweislich unser Immunsystem, das stets eine primäre Rolle im Kampf gegen Krebs einnimmt. Des Weiteren wirkt es sich entgiftend aus, kann also bestimmte toxischen Substanzen aus dem Körper entfernen, die nicht selten als Verursacher der Tumorerkrankung fungieren. L-Carnitin kann aber noch mehr gegen Krebs ausrichten: Es kann die Nebenwirkungen einer Chemotherapie schmälern und die gesunden Zellen stärken.",carnitin,3
Wirkung von L-Carnitin bei Muskelschwund,"Wie wir noch im „L-Carnitin beim Sport“ lesen werden, wirkt L-Carnitin sowohl antikatabol (vor Muskelabbau schützend) als auch anabol, also muskelaufbauend. Damit der Körper aus den eigenen Reserven 1 g L-Carnitin herstellen kann, muss er rund 30 g Muskelmasse dafür abbauen. Eine zusätzliche Zufuhr von L-Carnitin wirkt sich also muskelschützend aus, was den antikatabolen Effekt erklärt. L-Carnitin verbessert dabei die Energieversorgung der Myofibrillen, ermöglicht höhere Belastungen und wirkt der vorzeitigen Ermüdung entgegen. Alles in allem erweist sich L-Carnitin als optimal, um gegen Muskelschwund anzuarbeiten.",carnitin,3
Wirkung von L-Carnitin auf die Fruchtbarkeit,"L-Carnitin empfiehlt sich auch zur Förderung der Kinderzeugung. Für Männer, die über zu wenig Spermien im Ejakulat verfügen oder deren Spermien nicht hinreichend aktiv sind, kann L-Carnitin eine echte Hilfe sein und die Fruchtbarkeit steigern. Studien konnten diesbezüglich einen positiven Effekt nach 3–6 Monaten regelmäßiger Einnahme von 1 g L-Carnitin/Tag nachweisen. Nennenswert ist in diesem Zusammenhang die Tatsache, dass Spermien große Mengen an Acetyl-L-Carnitin speichern und Acetyl-L-Carnitin die einzige Energieform ist, die den Spermien zur Befruchtung der weiblichen Eizelle dient.",carnitin,3
L-Carnitin und Schwangerschaft,"Darf oder sollte man sogar während der Schwangerschaft L-Carnitin einnehmen?

Wie bei allen Nahrungsergänzungsmitteln fragt sich die werdende Mutter, ob eine Einnahme während der Schwangerschaft erlaubt ist oder aber Schaden anrichten könnte. Letzteres kann verneint werden; viel interessanter ist aber die Notwendigkeit einer zusätzlichen Einnahme von L-Carnitin während der Schwangerschaft, und zwar sowohl für die werdende Mutter als auch für das heranreifende Kind.",carnitin,3
