id,text,product_tag,book_id
"Wie funktioniert Vitamin B17 (Laetril, Amygdalin)?","Laut seinem Entdecker Dr. Krebs wirkt es sehr selektiv und ausschließlich auf die Krebszellen ein, indem es dort in hoher Konzentration das giftige Hydrogenzyanid-Molekül freisetzt; gleichzeitig wird die gesunde Zelle durch das Enzym Rhodanese geschützt, wobei die ankommenden Gifte augenblicklich zu dem harmlosen Enzym Rhodanid neutralisiert werden.",aprikosenkerne,3
Wirken alle Aprikosenkerne oder lediglich die bitteren?,"Es handelt sich ausschließlich um die bitteren Aprikosenkerne, die den Wirkstoff Vitamin B17 (Laetril, Amygdalin) beinhalten – alle anderen Aprikosenkerne beinhalten wenig bis gar nichts davon und sind daher wirkungslos!",aprikosenkerne,3
Laetril (Vitamin B17) – ein Naturheilmittel gegen Krebs?,"Völlig unnötig stellt die Erkrankung „Krebs“ bis zum heutigen Tag eine Schreckensgestalt sondergleichen dar, dies mit steigender Tendenz. So erkrankt mittlerweile jeder 3te Mensch an Krebs, jeder 4te verstirbt daran. Die Zukunftsaussichten sehen dabei alles andere als rosig aus, und so rechnet die Weltgesundheitsorganisation (WHO) mit einem Anstieg von 70% an Neuerkrankungen in den kommenden Jahren..!

Eine Geißel der modernen Menschheit, die es in dieser Form nicht mehr geben müsste, würde die Schulmedizin im Sinne eines komplementären Ansatzes endlich mit der alternativen Heilkunde kooperieren und diese dabei zu einem gleichberechtigten Partner machen.

Die Interessen der mächtigen „Big Pharma“ und der etablierten Ärzteschaft kollidieren jedoch mit diesem Gedanken, da Natursubstanzen nicht patentierbar sind und [...]

Zu diesen äußerst effektiven, weitestgehend verheimlichten und seinerzeit aufs Übelste bekämpften Natursubstanzen zählt ohne Frage Laetril, ein Wirkstoff gewonnen aus den bitteren Aprikosenkernen, auch unter dem Synonym „Vitamin B17“ bekannt. Laetril, Amygdalin, Vitamin B17 – drei Begriffe, die das Gleiche beschreiben,

nämlich den wohl umstrittensten, am gründlichsten erforschten und am meisten bekämpftesten, natürlichen Wirkstoff in der Geschichte der Medizin – gewonnen aus bitteren Aprikosenkernen! Keine alternative Behandlungsform gegen Krebs wurde jemals intensiver abgehandelt. Vitamin B 17 ist mehr als jeder andere Wirkstoff: Es ist der Inbegriff der wissenschaftlichen und philosophischen Kontroverse zwischen den Anhängern der alternativen Krebstherapien und den Angehörigen des medizinischen Establishments.

In den folgenden Kapiteln erfahren Sie die gesamte Geschichte von Vitamin B17, die Hintergründe einer unglaublichen Verschwörung, Sie lesen über objektive Fakten von beiden Seiten, Fakten, die für jeden Menschen, auch den gesunden, von Interesse sein könnten angesichts der Tatsache, dass statistisch gesehen jeder dritte Mensch 748 in Deutschland und den Industrienationen bereits an Krebs erkrankt und laut dem Statistischen Bundesamt in Wiesbaden jeder vierte Deutsche daran verstirbt 749 – Tendenz übrigens steigend! Bilden Sie sich selbst Ihr Urteil über Vitamin B17!",aprikosenkerne,3
Der Pharma Skandal um Aprikosenkerne,"Nachdem mehrere vom NCI (National Cancer Institute – Nationales Krebsinstitut in den USA) in Auftrag gegebene Studien zu Vitamin B17 (Laetril) positiv verlaufen sind, entschloss man sich zu einer längeren Testreihe am renommiertesten Krebsforschungszentrum der Welt, dem Memorial Sloan- Kettering unter der Leitung von Dr. Sugiura. Der mittlerweile verstorbene Dr. Sugiura galt mit 60 Jahren Berufserfahrung zum damaligen Zeitpunkt als Koryphäe auf dem Gebiet der Forschung. Wäre es um die reine Wahrheit gegangen, so wäre Dr. Sugiura für diesen Job weltweit der geeignetste Mann gewesen; darum aber ging es ganz und gar nicht und so hat Sloan-Kettering die Rechnung ohne Dr. Sugiura gemacht.
Um es aber kurz zu halten: Viele Menschen wurden in den USA verhaftet und viele Ärzte verloren ihre Praxiszulassung. Vitamin B17 wurde kurzerhand für giftig und nutzlos erklärt, die Behandlung verboten, und selbst der Handel mit den bitteren Aprikosenkernen wurde in USA und Kanada untersagt!

Dr. Ralph Moss hat übrigens sein Leben seitdem der Erkundung von alternativen Krebstherapien gewidmet, zählt zu den renommiertesten medizinischen Autoren und hat als anerkannter Experte und Berater zwölf Bücher zum Thema „Krebs“ geschrieben und drei Dokumentarfilme gedreht.
Verfügen aber diese kostengünstigen (nicht patentierbaren) Naturstoffe, wie in diesem Fall Laetril aus bitteren Aprikosenkernen, über ein günstiges „Nutzen- Risiko-Profil“, wirken sie also letztendlich, ohne unserer Gesundheit auch nur annähernd zu schaden, so stehen diese ab dem Zeitpunkt der Markteinführung in direkter Konkurrenz zu den teuren Medikamenten der Pharmaindustrie, die zudem nicht selten mit erheblichen Nebenwirkungen einhergehen. Damit werden sie automatisch zur Zielscheibe der mächtigen „Big Pharma“, die skrupellos keine Mühen und Gelder scheut, um dem Konkurrenten, der besser, sicherer und kostengünstiger ist, den Garaus zu machen!
Es ist übrigens durchgesickert, dass Pharmaunternehmen sehr aufwendige Versuche unternommen haben, um Vitamin B17 synthetisch (künstlich) zu erzeugen, denn nur dies würde es ermöglichen, es zu patentieren. Sämtliche Versuche sind jedoch kläglich gescheitert, was zeitgleich eine Kampfansage gegen das Vitamin B17 bedeutete!

FAZIT

Nicht patentierbare Stoffe (Naturstoffe) bringen kein Geld, ganz im Gegenteil: Sie sind eine Bedrohung für ein Milliardengeschäft! Die Krebserkrankung macht aber ca. 10 % des Gesamtumsatzes der

Pharmaindustrie aus, das sind ca. 40 Milliarden Dollar im Jahr! Dass die mächtige Pharmaindustrie hierauf nicht verzichten möchte, versteht sich von selbst.

Zusammenfassend lässt sich also Folgendes sagen:

Laetril wirkt sehr selektiv ausschließlich auf die Krebszellen ein, indem es in der Krebszelle das giftige Hydrogenzyanid-Molekül in einer 100- bis 3600- fachen Konzentration freisetzt (im Vergleich zu der Freisetzung in einer gesunden Zelle). Gleichzeitig verfügt die Krebszelle nur unzureichend über das Enzym Rhodanese, das in der gesunden Zelle zahlreich vorkommt und die ankommenden Gifte augenblicklich zum harmlosen Enzym „Rhodanid“ neutralisiert!

Im Übrigen ist das Benzaldehyd-Molekül für die schmerzstillende Wirkung von Laetril gegen den Krebsschmerz verantwortlich.",aprikosenkerne,3
Natürliche Chemotherapie – ohne Nebenwirkungen!,"Ähnlich wie z.B. der Wirkstoff Curcumin aus dem indischen Kurkuma- Gewürz (siehe entsprechendes Kapitel) und zahlreiche andere in diesem Buch erwähnten Substanzen, verfügt Laetril über regelrechte zytotoxische und zytostatische Wirkung...

Zur Erklärung, bedeutet „zytotoxisch“ übersetzt aus dem Griechischen so viel wie „zellzerstörend“ und „zytostatisch“ bedeutet „Zellwachstum hemmend“. Exakt also diejenigen Mechanismen, die wir aus der Chemotherapie kennen, allerdings mit dem einen wesentlichen Unterschied:

die Mutter Natur sorgt für uns, und will uns nicht schaden! So beziehen sich diese äußerst effizienten, zellzerstörerischen und zellwachstumshemmenden Eigenschaften ausschließlich auf die bösartigen Zellen, die Krebszelle – die gesunden Zellen werden dabei gänzlich verschont!",aprikosenkerne,3
Dosierung von Vitamin B17 zu Präventionszwecken (Krebs vorbeugend!),"Gemäß dem Autor des Bestsellers „World Without Cancer“, G. Edward, empfiehlt Dr. Krebs, der Entdecker von Laetril, zu Präventionszwecken ein Minimum von 50 mg Laetril für normale, gesunde Erwachsene.

Der Durchschnittswert von Laetril in einem bitteren Aprikosenkern liegt bei etwa 4–5 mg Laetril; dieser Wert kann bis um den Faktor 6 variieren!

Die zu Präventionszwecken zumeist genannte Anzahl an bitteren Aprikosenkernen pro Tag liegt bei sieben, in den allermeisten Fällen zehn Kernen, was sich mit der Empfehlung ungefähr deckt. Zahlreichen Quellen zufolge wurde bislang kein einziger Fall dokumentiert, bei dem jemand, der bittere Aprikosenkerne zur Vorbeugung von Krebs zu sich nahm, jemals an Krebs erkrankt wäre – ein bemerkenswerter Punkt angesichts der Tatsache, dass bittere Aprikosenkerne seit Jahrzehnten weltweit von Abermillionen von [...]",aprikosenkerne,3
Dosierung von Laetril zur Krebsbehandlung,"Im Falle von Krebs wäre die übliche Dosis etwa 6 g Laetril intravenös gespritzt, über einen Zeitraum von in der Regel drei Wochen. Eine solche intensive Therapie sollte man selbstverständlich niemals im Alleingang versuchen, sondern immer innerhalb einer ganzheitlichen metabolischen Therapie, angeleitet und überwacht von einem auf diesem Gebiet erfahrenen Arzt!
Dies deshalb, weil laut Laetril-Experten das massenhafte Absterben der Krebszellen Gifte erzeugt und deren Ausscheidung aus dem Organismus zu einer Vergiftung führen könne; das Laetril wird daher begleitend in Verbindung mit mehreren anderen Wirkstoffen verabreicht, unter anderem von hohen intravenösen Dosen an Vitamin C.",aprikosenkerne,3
"Was ist Vitamin B17 (Laetril, Amygdalin)?","Vitamin B17, auch Laetril oder Amygdalin genannt, wird von alternativen Krebsmedizinern und Laetril-Forschern als „natürliches Chemotherapeutikum“ bezeichnet, das in über 1200 Pflanzen vorkommt. Das größte Vorkommen jedoch weisen bittere Aprikosenkerne auf; weiterhin findet sich Laetril in Äpfeln, Pflaumen und Pfirsichen.",aprikosenkerne,3
Reicht Vitamin B-17 als Krebstherapie?,"Auf keinen Fall! Viele Erfolgsgeschichten von ehemals Krebserkrankten, die allein mit den bitteren Aprikosenkernen (Vitamin B17) ihren Krebs bekämpft haben, könnten dazu verleiten, aber eines sollte dennoch klar sein: Während Vitamin B17 wahrscheinlich bei jeder Krebsart eine positive Wirkung zeigt, reagieren jeder Mensch und jede Krebsart möglicherweise unterschiedlich darauf!
Es wäre in weitaus den meisten Fällen fahrlässig, bei einer lebensbedrohenden Erkrankung wie dem Krebs zu pokern, sich mit einigen Pfund bitterer Aprikosenkerne zu bewaffnen und im Alleingang loszulegen! Vielmehr sollte das Vitamin B17 begleitend innerhalb einer ganzheitlichen Krebstherapie erfolgen, die von Laetril-Ärzten angeleitet und begleitet wird!",aprikosenkerne,3
"Ist Laetril, Amygdalin (Vitamin B17) legal oder ist es verboten?","Zum jetzigen Zeitpunkt sind Aprikosenkerne und damit Vitamin B17 als Nahrungsergänzungsmittel in der EU zugelassen und damit erlaubt! In den USA ist Laetril eingeschränkt erlaubt, in Kalifornien beispielsweise ist der Einsatz von Laetril/Amygdalin (Vitamin B17) gegen Krebs beim Menschen unter bestimmten Umständen untersagt.",aprikosenkerne,3
