id,text,product_tag,book_id
Wirkung von Propolis bei Allergien,"Zu den häufigsten Allergieformen zählen Pollenallergie (Heuschnupfen), Tierhaarallergie, Nahrungsmittelallergie, Insektenallergie sowie Hausstaubmilbenallergie. Die im Propolis zahlreich enthaltenen Flavonoide schützen nicht nur die Mastzellen, die für die Histaminausschüttung zuständig sind, sondern hemmen diese an sich. Es gibt Berichte darüber, dass selbst extrem schwerste Allergiefälle, beispielsweise bei Heuschnupfen, nicht nur eine Linderung, sondern nach wiederholter Anwendung der Propolis-Behandlung eine komplette Heilung erfahren konnten und eine weitere Anwendung unnötig war.",propolis,3
Wirkstoffe im Propolis,"Bis zum heutigen Tag konnten die Wissenschaftler eine Anzahl von ca. 200 Inhaltsstoffen darin identifizieren.

Zu den Wirkstoffen in Propolis gehören Vitamine, Mineralien, Spurenelemente, sekundäre Pflanzenstoffe und ätherische Öle. Die Hauptwirkstoffe sind aber ohne Frage die Flavonoide, die den sekundären Pflanzenstoffen angehören.

Zunächst muss man jedoch unbedingt vorausschicken, dass es nicht DAS standarisierte Propolis gibt; vielmehr hängt dessen Zusammensetzung (und damit auch die Wirksamkeit) stark von der Region (geografisch bedingte Eigenheiten von Pflanzen), in der die Bienen tätig wurden, sowie von der Jahreszeit ab. Die Wirksamkeit kann also von Propolis zu Propolis variieren.",propolis,3
Revitalisierende Wirkung von Propolis,"Indem es in Stoffwechselprozesse eingreift und diese beschleunigt, ist Propolis geradezu dafür prädestiniert, älteren und kranken Menschen wieder Energie zu schenken, indem es deren alters- oder krankheitsbedingte Stoffwechselprozesse wieder ankurbelt.

Zellverjüngende Wirkung von Propolis

Propolis vermag nach Ansicht von Prof. Dr. E. Dörling die Zellverjüngung nicht nur signifikant zu beschleunigen, sondern sogar zu verdoppeln!",propolis,3
"Antibakterielle, antivirale und antifungale Wirkung von Propolis","Im Gegensatz zu Antibiotika (also Penicillin & Co.), die lediglich ein Dutzend verschiedener Bakterienstämme zu eliminieren verstehen, nimmt sich Propolis sämtlicher Parasiten an, angefangen von Bakterien bis hin zu Viren und Pilzen. Darüber hinaus können diese Parasiten, im Gegensatz zur Sachlage bei Antibiotika, keine Resistenz gegen Propolis entwickeln, was dieses zu einer ausgezeichneten und immer beliebteren Alternative zu den schädlichen Antibiotika macht.",propolis,3
Schmerzlindernde Wirkung von Propolis,"Die im Propolis enthaltenen Flavonoide sind natürliche Antagonisten (Gegenspieler) von Prostaglandinen, die bekanntlich innerhalb des Schmerzgeschehens eine ursächliche Rolle spielen. Dies zieht eine regelrechte anästhesierende Wirkung nach sich und stellt eine gesunde Alternative zu zahlreichen, häufig stark nebenwirkungsbehafteten Medikamenten der Schulmedizin dar.",propolis,3
Antiallergische Wirkung von Propolis,"Die antiallergische Wirkung von Propolis ist vor allem auf die darin enthaltenen Flavonoide zurückzuführen. Bekanntlich entstehen Allergien aufgrund der Freisetzung von Histamin. Die Flavonoide im Propolis schützen die Mastzelle, die das Histamin ausschüttet, dämmen deren Ausschüttung ein und verhindern so direkt die allergischen Reaktionen.",propolis,3
Wirkung von Propolis gegen Altersbeschwerden – Anti-Aging,"Die sicherlich aufsehenerregendste Fähigkeit von Propolis bezüglich eines Anti-Aging-Effektes liegt in seiner Eigenschaft, die Zellverjüngung um das Doppelte beschleunigen zu können. 473 Propolis erweist sich als ein potentes Mittel gegen sämtliche Altersbeschwerden. Es sind in erster Linie die Angriffe von freien Radikalen, die uns altern lassen. So vermuten Experten, dass der Mensch 120 Jahre alt werden könnte, wenn es ihm gelänge, sämtliche Angriffe von freien Radikalen abzuwenden. Propolis hat in zahlreichen Experimenten sehr effiziente, antioxydative Fähigkeiten unter Beweis stellen können. Des Weiteren baut unser Immunsystem mit fortschreitendem Alter stetig ab. Die immunstärkende Wirkung von Propolis kann also auch diesem Alterungsaspekt gerecht werden.[...]",propolis,3
"Wirkung von Propolis bei Durchblutungsstörungen, Schaufensterkrankheit und Raucherbein","Bei Durchblutungsstörungen und der Schaufensterkrankheit sowie bei Raucherbeinen hat sich die Anwendung der Propolis-Salbe sehr gut bewährt. Mehrmals am Tag, vor allem vor dem Schlafengehen, die betroffenen Extremitäten kräftig einreiben.

Wirkung von Propolis bei Hauterkrankungen, Akne, Gürtelrose, Herpes usw.

Propolis hat sich in Form einer Salbe in der äußeren Anwendung von zahlreichen Hauterkrankungen, von Akne über Gürtelrose bis hin zu Herpes, als geradezu hervorragend herausgestellt.",propolis,3
Propolis Wirkung bei Rheuma/Arthritis,"Propolis hat bei Rheuma- bzw. Arthritispatienten in Doppelblindstudien eine herausragende Wirkung erzielt und sollte äußerlich als Salbe angewandt werden.

In einem Doppelblindversuch hat man 28 Rheumapatienten mit einer Propolis-Salbe und einem Scheinpräparat behandelt. Diejenigen Rheumapatienten, die mit der Propolis-Salbe behandelt wurden, erfuhren eine „eindrucksvolle Besserung innerhalb der ersten Woche“ 475 Hierbei sollte man die betroffenen Gelenke 2–3 x täglich mit einem dünnen Film an Propolissalbe einreiben.",propolis,3
Propolis in der alternativen und komplementären Krebsbehandlung,"Während Propolis vor allem aufgrund seiner antibakteriellen und antiallergischen Eigenschaften berühmt geworden ist, zeigt es gerade in letzten Jahren weitere ungeahnte Potenziale, nämlich im Kampf gegen Krebs! So zeigt die Krebsforschung seit Neustem starkes Interesse an diesem Naturstoff der Bienen, denn es scheint, als verfüge Propolis über direkte krebszellentötende sowie das Krebswachstum hemmende Eigenschaften.",propolis,3
